Predict,Id,stack,xgb,lgb,Predict,Predict
6.056284665,1,6.08985321,6.036610603,5.883810442,6.116258144,6.056284665
6.095115145,2,6.148189446,5.870206356,5.887021804,5.610913754,6.095115145
5.129814361,3,5.10461785,5.01086092,5.303846822,4.860098362,5.129814361
6.06540504,4,6.086022782,6.351287365,5.860149643,6.267537594,6.06540504
5.209518185,5,5.213913129,5.273576736,5.164725553,5.133404732,5.209518185
5.340448222,6,5.314813334,5.369040012,5.467636909,5.116341591,5.340448222
5.287651893,7,5.247586072,5.554560184,5.412366762,5.538199902,5.287651893
5.464440557,8,5.438693478,5.545423031,5.57476415,5.300045967,5.464440557
5.676206268,9,5.647624641,6.05069828,5.703810985,6.432644367,5.676206268
5.871663033,10,5.859113023,5.724257946,5.987731488,5.69616127,5.871663033
4.77090548,11,4.761943769,4.855673313,4.790445326,4.602026463,4.77090548
5.66250715,12,5.701936423,5.66961813,5.449847324,5.216877937,5.66250715
5.938188525,13,5.984451995,5.913900375,5.69954595,5.155831814,5.938188525
5.796179304,14,5.794778668,5.938176632,5.756316961,5.72464323,5.796179304
6.382106906,15,6.362809568,6.618366241,6.406272925,6.208302498,6.382106906
4.957618155,16,4.926585903,5.169054985,5.052644591,5.032455444,4.957618155
5.385259588,17,5.387559824,5.401856899,5.367459224,5.286542892,5.385259588
5.90325721,18,5.850036351,5.907559872,6.185667535,5.294238567,5.90325721
5.035648483,19,5.046298432,5.117370129,4.951608084,4.811453819,5.035648483
5.688687167,20,5.521114163,6.589920521,6.281998737,8.425228119,8.425228119
5.160825244,21,5.188278018,5.046726227,5.052443377,5.199130535,5.160825244
5.493429136,22,5.504073523,5.418214798,5.461730516,5.216484547,5.493429136
6.303104849,23,6.351186014,6.05883646,6.128094722,6.483018398,6.303104849
6.040478023,24,6.080871535,5.666919708,5.949565315,6.750109673,6.040478023
5.6865661,25,5.593577196,6.030934811,6.067717272,6.136544228,5.6865661
5.368064689,26,5.386711419,5.323080063,5.283610216,5.157490253,5.368064689
5.194195032,27,5.206289885,5.111650467,5.157203887,5.022394657,5.194195032
5.267039748,28,5.308945934,5.215799332,5.060620265,6.886304855,5.267039748
5.576568459,29,5.617809107,5.404411316,5.414003972,5.606368065,5.576568459
5.474255812,30,5.479180221,5.532629013,5.428534598,5.759680271,5.474255812
5.211622442,31,5.211388895,5.299482346,5.183581389,4.897408009,5.211622442
5.941978117,32,5.91763052,6.767939568,5.79651136,6.836568832,5.941978117
5.234991668,33,5.204330513,5.171336651,5.419736204,5.183137417,5.234991668
7.517068742,34,7.520913965,8.248545647,7.252735293,8.454251289,8.454251289
5.811454533,35,5.780085737,6.005883217,5.913945213,5.82497406,5.811454533
5.080813021,36,5.077389305,5.160419941,5.072537199,5.156020641,5.080813021
5.473414233,37,5.473667848,5.553315163,5.445427936,5.424895763,5.473414233
5.215435448,38,5.213032448,5.520191669,5.126666005,5.624363422,5.215435448
5.662918374,39,5.599103906,5.822914124,5.949930244,5.306432247,5.662918374
5.554723446,40,5.524074673,6.249947548,5.486442202,5.791038513,5.554723446
5.862070264,41,5.870060809,6.418623447,5.633936332,7.404133797,5.862070264
5.620269353,42,5.599458447,5.82410574,5.663315384,5.483015537,5.620269353
5.289878153,43,5.287177017,5.396366119,5.268788223,5.167072773,5.289878153
5.39952741,44,5.417964442,5.292091846,5.337008386,5.371654987,5.39952741
5.930357837,45,5.896867525,6.133227348,6.041349667,5.689571857,5.930357837
6.397204778,46,6.40610237,6.201064587,6.41513102,5.676037788,6.397204778
5.570397482,47,5.54114185,5.30459547,5.815028073,5.570632458,5.570397482
5.216292998,48,5.09910002,5.667499065,5.690920113,5.152640343,5.216292998
4.817096519,49,4.791447667,4.798215866,4.960183928,4.604990959,4.817096519
5.541986779,50,5.538327192,5.714433193,5.504022433,5.55727911,5.541986779
4.952648459,51,4.934348207,5.160299301,4.981032774,4.96581316,4.952648459
4.928482574,52,4.935156471,4.968709946,4.879479337,5.046586514,4.928482574
4.794899786,53,4.737434282,4.908134937,5.063637426,4.933073521,4.794899786
4.955196443,54,4.950640059,4.884436607,5.003083729,4.621973515,4.955196443
4.650555269,55,4.591362616,4.927757263,4.873848714,4.688123703,4.650555269
4.766995476,56,4.728668011,4.914543629,4.922225903,4.762135029,4.766995476
5.104730371,57,5.141051911,5.080126286,4.919216774,4.671951771,5.104730371
4.888634313,58,4.862360024,5.060970306,4.97131856,4.769052505,4.888634313
4.795181497,59,4.751038669,4.99616766,4.963614502,4.88569212,4.795181497
5.212299845,60,5.216700316,5.149707794,5.209694688,5.002082825,5.212299845
5.062159534,61,5.051863551,5.152197838,5.087058598,5.275454044,5.062159534
5.241127047,62,5.185024372,5.278427601,5.527907799,5.375368118,5.241127047
6.291382925,63,6.309695159,6.691478252,6.060352486,6.524060726,6.291382925
5.071445549,64,5.013859972,5.242587566,5.32152117,4.861163616,5.071445549
5.07939148,65,5.065707797,5.354206562,5.060766094,4.963272095,5.07939148
5.046107111,66,5.020105258,5.33737421,5.087694631,5.02326107,5.046107111
4.955671204,67,4.942274452,4.977637768,5.019798341,5.094074249,4.955671204
4.754066693,68,4.724667742,5.030539036,4.818703652,4.820881367,4.754066693
6.015717276,69,5.840240197,6.508219719,6.787427508,5.120646954,6.015717276
5.693220189,70,5.70270711,5.531603336,5.696495444,5.422755241,5.693220189
6.245511879,71,6.228539799,6.405567646,6.282677756,6.734721184,6.245511879
5.992395417,72,5.957930409,6.198761463,6.107420113,5.959149837,5.992395417
6.184363663,73,6.187552753,5.919611931,6.255605721,5.554200649,6.184363663
5.284895207,74,5.264502072,5.324180126,5.380563617,5.150024891,5.284895207
5.951878726,75,5.941589924,5.749156952,6.074326224,5.835524082,5.951878726
5.331219867,76,5.34114304,5.292680264,5.291142815,4.880992413,5.331219867
5.704977444,77,5.654510252,5.655036449,5.990782756,5.22477293,5.704977444
5.543743282,78,5.524480966,5.638849258,5.614773684,5.633966446,5.543743282
6.406926262,79,6.363658663,7.16516304,6.384941156,8.329917908,8.329917908
6.086045529,80,6.075241327,6.0417099,6.158446519,6.536483288,6.086045529
6.445394285,81,6.377625796,6.822751999,6.681040205,7.029378414,6.445394285
5.393698287,82,5.350352902,5.573773861,5.564848437,5.310586452,5.393698287
5.311108169,83,5.276039645,5.482778549,5.440916835,5.335251331,5.311108169
5.48585062,84,5.437943772,5.681190968,5.676240321,5.917283535,5.48585062
5.877223662,85,5.956474196,5.472795486,5.589363577,5.548918247,5.877223662
5.874797599,86,5.896424326,5.440662861,5.904166552,5.262138367,5.874797599
6.002562277,87,6.071975692,5.783387661,5.705415484,5.753080368,6.002562277
5.484266278,88,5.452402742,5.897089005,5.516597483,5.610146046,5.484266278
5.705320352,89,5.72278895,5.32179451,5.739996363,5.461750507,5.705320352
5.707777278,90,5.690868423,5.34627533,5.918458412,4.910344124,5.707777278
6.279492977,91,6.295239693,7.501900673,5.78804122,6.844631672,6.279492977
6.258680932,92,6.251813974,6.497522354,6.215690818,6.367117882,6.258680932
6.289899042,93,6.296891512,6.428627014,6.20636309,5.734788895,6.289899042
5.709969814,94,5.731665884,5.893790245,5.532984003,5.752180099,5.709969814
5.635249609,95,5.665814564,5.465687275,5.528757218,6.362858295,5.635249609
5.761304127,96,5.785408056,5.68317318,5.658793366,5.762954712,5.761304127
5.599183654,97,5.59711,5.407364368,5.6741829,5.313303471,5.599183654
5.904876805,98,5.874243776,6.329686642,5.926649681,6.192579746,5.904876805
6.112930963,99,6.093603209,6.302756786,6.152737079,5.746441841,6.112930963
5.679327146,100,5.732767818,5.354997635,5.502420108,4.517002583,5.679327146
5.832826872,101,5.677881223,6.15932703,6.550370282,5.892411232,5.832826872
5.659340581,102,5.657183794,5.873812199,5.599352829,5.388549328,5.659340581
6.452132149,103,6.489108367,6.288515568,6.309464391,5.872319698,6.452132149
6.000299825,104,5.997951547,6.108154774,5.976872364,5.855294704,6.000299825
6.217050109,105,6.235872489,5.881392956,6.228549797,6.310779572,6.217050109
5.565932512,106,5.591590952,5.124239922,5.576318364,5.128831387,5.565932512
5.398601787,107,5.398040804,5.339483261,5.421299755,5.45533514,5.398601787
5.410146064,108,5.488095622,5.177355766,5.072011778,4.863837242,5.410146064
5.689059989,109,5.695528895,5.495964527,5.718924188,5.662927628,5.689059989
6.467104235,110,6.593652965,5.752300262,6.030445547,5.669154167,6.467104235
6.19527943,111,6.248089057,5.991323471,5.981613368,5.99608326,6.19527943
5.846689958,112,5.903509134,6.000710011,5.492314298,6.934660435,5.846689958
6.001123625,113,5.970171136,6.286463261,6.071090393,6.008294106,6.001123625
5.886512326,114,5.827387095,6.020725727,6.157109013,6.038388252,5.886512326
6.356222423,115,6.391145572,6.402321339,6.154599287,6.011936188,6.356222423
5.146851027,116,5.144174395,5.275267124,5.118320954,5.13579464,5.146851027
5.538890464,117,5.528356408,5.685278893,5.546275993,5.435910702,5.538890464
5.947294489,118,5.945920883,5.994033337,5.939040812,5.848424435,5.947294489
5.566122195,119,5.635028364,5.498965263,5.221008233,5.591985226,5.566122195
5.122737057,120,5.15724916,5.010259151,4.97616514,4.776537418,5.122737057
6.180195645,121,6.20049841,5.354674816,6.34708776,6.298156738,6.180195645
5.191988135,122,5.199397188,5.308613777,5.113597973,5.234061718,5.191988135
5.242292082,123,5.252683268,5.327064514,5.158614987,5.500938892,5.242292082
5.994864517,124,6.045151407,5.833772659,5.780364938,5.677766323,5.994864517
5.277091027,125,5.233731116,5.74537611,5.352248779,5.036420345,5.277091027
5.953395671,126,5.928972484,5.760993004,6.147786767,5.510847569,5.953395671
5.247010069,127,5.222073045,5.429959297,5.319024451,5.211874008,5.247010069
5.067500726,128,5.068592288,5.104052544,5.04949516,4.987296581,5.067500726
6.516718956,129,6.413306271,7.436888695,6.761529989,6.827670574,6.516718956
5.516968915,130,5.553086784,5.47657299,5.337805545,4.900771141,5.516968915
6.202366792,131,6.229453791,6.182773113,6.064434021,6.015916348,6.202366792
6.168397548,132,6.147978911,6.16254282,6.279248562,6.390336037,6.168397548
6.371052261,133,6.370796867,6.373931885,6.371454528,6.044657707,6.371052261
5.992192922,134,6.01282757,5.832808495,5.935269568,5.773793697,5.992192922
5.512840263,135,5.561162118,5.489952087,5.262753135,5.061919212,5.512840263
6.457257017,136,6.388504439,6.378227711,6.850280416,5.828297138,6.457257017
5.569743751,137,5.487885898,5.767929554,5.940257034,5.916957378,5.569743751
5.981152096,138,6.017422465,5.919660568,5.808207183,6.143329144,5.981152096
5.81042334,139,5.810783315,5.502475739,5.911152552,5.664179325,5.81042334
5.705807988,140,5.689703039,5.52440691,5.852168035,4.984239101,5.705807988
5.466177472,141,5.495825438,5.744692326,5.215216585,4.956258297,5.466177472
5.635012476,142,5.633943541,5.434388161,5.707588118,5.177948952,5.635012476
6.118126581,143,6.118570953,5.972561359,6.164278375,6.272645473,6.118126581
6.035586988,144,6.003261569,6.156794548,6.167586742,6.07336998,6.035586988
6.903262789,145,6.853620899,6.773460388,7.211286961,6.922175407,6.903262789
4.915874177,146,4.887272597,5.169202805,4.9839731,6.276731491,4.915874177
6.7192036,147,6.756844722,6.348333836,6.642074165,6.048755646,6.7192036
5.399304252,148,5.40251733,5.152106285,5.464567158,5.742660522,5.399304252
5.692241046,149,5.549771163,5.682005882,6.455492146,5.657217979,5.692241046
4.828387507,150,4.782502967,5.058870792,4.996277251,4.993243217,4.828387507
5.086489801,151,5.041510384,5.377378941,5.229416935,5.325386047,5.086489801
5.960136837,153,5.99120097,5.739323616,5.868065908,5.496747494,5.960136837
5.827364694,154,5.916701879,5.343094826,5.51232292,5.278507233,5.827364694
6.484844319,155,6.5183289,6.806535244,6.19902962,7.671027184,6.484844319
5.086619727,156,5.072978379,5.100993633,5.154582324,4.915388584,5.086619727
6.08206132,157,6.089140966,5.923946381,6.097008146,6.394443989,6.08206132
6.181217493,158,6.13226112,6.538677216,6.323164908,7.255939007,6.181217493
6.325192923,159,6.366809944,6.159230709,6.158556097,5.940404415,6.325192923
5.658957087,160,5.680311839,5.569452763,5.574899895,5.524745464,5.658957087
5.603954547,161,5.709081716,4.957471371,5.258770666,4.901711464,5.603954547
5.440327115,162,5.420979262,5.735260487,5.445204422,4.87691164,5.440327115
5.906941215,163,5.889936328,5.449646473,6.150065448,5.036671162,5.906941215
6.13655658,164,6.170514295,5.682706356,6.106732212,8.105710983,8.105710983
5.255138615,165,5.268320488,5.086647034,5.240999078,5.167495728,5.255138615
5.184754873,166,5.19191419,4.877230167,5.249080065,4.564982891,5.184754873
6.17338884,167,6.186952172,6.242585182,6.077985622,6.140981674,6.17338884
5.269779764,168,5.291285835,5.362542152,5.124159878,5.060279846,5.269779764
5.687866292,169,5.66858332,6.078439236,5.660517783,5.997169018,5.687866292
6.253270477,170,6.261114517,6.378935814,6.169547033,6.118027687,6.253270477
6.874912682,171,6.788412351,7.27437973,7.2030921,7.320661068,6.874912682
5.737701861,172,5.75348578,5.616400719,5.693954633,5.446148872,5.737701861
5.234884057,173,5.213802832,5.171377659,5.368486058,5.547673702,5.234884057
6.045058785,174,6.051252094,5.991740704,6.029800458,6.619513035,6.045058785
7.114604407,175,7.021004704,8.380537033,7.191825281,8.329785347,8.329785347
5.096650672,176,5.082317733,5.108613014,5.169105445,4.712695122,5.096650672
5.875376668,177,5.884118429,5.86062479,5.833671199,4.888180256,5.875376668
5.357608319,178,5.326651578,5.258750439,5.555663607,5.097157478,5.357608319
6.201300226,179,6.187691609,6.53438282,6.162852024,6.036757946,6.201300226
6.522742118,180,6.529487414,6.788969994,6.398024502,6.756322861,6.522742118
5.63300063,181,5.600818346,5.61172533,5.811731207,4.835722446,5.63300063
5.90684789,182,5.909427525,5.956879139,5.876412712,5.524103165,5.90684789
5.393109091,183,5.365604722,5.987902164,5.341534663,5.952940464,5.393109091
